,股票名稱,季別,營業收入,營業成本,營業毛利,毛利率,營業利益,營益率,業外收支,稅前淨利,稅後淨利,EPS(元)
0,台泥(1101),2024-11-14,41075.0,31106.0,9969.0,0.2427,6270.0,0.1526,237.0,6507.0,3141.0,0.42
1,台泥(1101),2024-08-14,38969.0,31513.0,7456.0,0.1913,4325.0,0.111,1138.0,5463.0,2267.0,0.25
2,台泥(1101),2024-05-15,25545.0,21657.0,3887.0,0.1522,1200.0,0.047,2151.0,3351.0,1956.0,0.26
3,台泥(1101),2024-03-31,28348.0,22043.0,6305.0,0.2224,3434.0,0.1211,384.0,3817.0,1802.0,0.25
4,台泥(1101),2023-11-14,27002.0,21227.0,5775.0,0.2139,3062.0,0.1134,215.0,3277.0,1247.0,0.17
5,台泥(1101),2023-08-14,27668.0,21683.0,5985.0,0.2163,3368.0,0.1217,2414.0,5782.0,3542.0,0.45
6,台泥(1101),2023-05-15,26296.0,23827.0,2469.0,0.09390000000000001,166.0,0.0063,1315.0,1481.0,1407.0,0.2
7,台泥(1101),2023-03-31,34655.0,29322.0,5333.0,0.1539,2335.0,0.0674,1471.0,3805.0,2487.0,0.36
8,台泥(1101),2022-11-14,31123.0,28539.0,2584.0,0.083,628.0,0.0202,1476.0,2103.0,1510.0,0.22
9,台泥(1101),2022-08-14,25178.0,25046.0,132.0,0.005200000000000001,-2008.0,-0.0797,1573.0,-435.0,204.0,-0.02
10,台泥(1101),2022-05-15,22973.0,20887.0,2087.0,0.0908,208.0,0.009000000000000001,964.0,1172.0,1204.0,0.2
11,台泥(1101),2022-03-31,30137.0,22796.0,7341.0,0.2436,4679.0,0.1553,2053.0,6733.0,5420.0,0.9
12,台泥(1101),2021-11-14,26881.0,21706.0,5176.0,0.1925,3856.0,0.1434,836.0,4692.0,3984.0,0.59
13,台泥(1101),2021-08-14,27986.0,19377.0,8609.0,0.30760000000000004,7044.0,0.25170000000000003,2755.0,9799.0,7533.0,1.24
14,台泥(1101),2021-05-15,22038.0,16513.0,5525.0,0.25070000000000003,4208.0,0.19090000000000001,647.0,4855.0,3319.0,0.57
15,台泥(1101),2021-03-31,32119.0,21745.0,10374.0,0.32299999999999995,8505.0,0.26480000000000004,631.0,9136.0,6692.0,1.17
16,台泥(1101),2020-11-14,29809.0,19255.0,10554.0,0.354,9052.0,0.3037,1626.0,10678.0,7473.0,1.3
17,台泥(1101),2020-08-14,30464.0,19584.0,10880.0,0.35710000000000003,9325.0,0.3061,1481.0,10806.0,7935.0,1.39
18,台泥(1101),2020-05-15,21976.0,16195.0,5781.0,0.263,4460.0,0.203,274.0,4734.0,3000.0,0.55
19,台泥(1101),2020-03-31,35221.0,24842.0,10380.0,0.2947,9262.0,0.263,-488.0,8774.0,6492.0,1.19
20,台泥(1101),2019-11-14,30838.0,21119.0,9719.0,0.3152,8117.0,0.2632,804.0,8921.0,6538.0,1.2
21,台泥(1101),2019-08-14,31367.0,22044.0,9323.0,0.2972,7744.0,0.2469,1590.0,9335.0,7230.0,1.41
22,台泥(1101),2019-05-15,25356.0,18868.0,6488.0,0.2559,5033.0,0.1985,571.0,5603.0,3952.0,0.77
23,台泥(1101),2019-03-31,34937.0,26010.0,8927.0,0.2555,7205.0,0.20620000000000002,564.0,7769.0,5237.0,1.08
24,台泥(1101),2018-11-14,32157.0,23552.0,8605.0,0.2676,7347.0,0.2285,989.0,8335.0,5934.0,1.2
25,台泥(1101),2018-08-14,33321.0,23052.0,10269.0,0.30820000000000003,8979.0,0.2695,844.0,9823.0,7064.0,1.51
26,台泥(1101),2018-05-15,24179.0,18389.0,5791.0,0.2395,4651.0,0.1923,-33.0,4618.0,2945.0,0.69
27,台泥(1101),2018-03-31,29360.0,22971.0,6389.0,0.21760000000000002,4715.0,0.1606,-117.0,4598.0,2645.0,0.71
28,台泥(1101),2017-11-14,23058.0,18801.0,4257.0,0.18460000000000001,3246.0,0.1408,226.0,3472.0,1967.0,0.53
29,台泥(1101),2017-08-14,24714.0,19446.0,5268.0,0.2132,4061.0,0.1643,18.0,4079.0,2150.0,0.58
30,台泥(1101),2017-05-15,21180.0,18181.0,2999.0,0.1416,1942.0,0.0917,-266.0,1675.0,832.0,0.23
31,台泥(1101),2017-03-31,26548.0,20173.0,6375.0,0.2401,4999.0,0.1883,-1255.0,3744.0,1812.0,0.49
32,台泥(1101),2016-11-14,22350.0,17391.0,4959.0,0.22190000000000001,3781.0,0.16920000000000002,245.0,4025.0,2321.0,0.63
33,台泥(1101),2016-08-14,22942.0,17881.0,5061.0,0.2206,3771.0,0.16440000000000002,-302.0,3468.0,2004.0,0.54
